headline_clean,label,source
A historically Black community grapples with lasting impacts after Baltimore bridge collapse,0,NBC
"Dems with data are 'extremely bullish' on Trump winning, Harris may lose six swing states: analyst",1,FoxNews
The Midea U is my first air conditioner splurge,0,NBC
DNC 2024 live updates: Democratic convention kicks off; Hillary Clinton addresses delegates,0,NBC
Taylor Swift announces new music after being scared by seemingly possessed piano during Eras Tour,1,FoxNews
"Kamala Harris claims she's got a gun, but Second Amendment supporters say good luck getting yours",1,FoxNews
Muslims navigate restrictions in the second pandemic Ramadan,0,NBC
Greek yogurt vs. regular yogurt: Is one 'better' for you than the other?,1,FoxNews
Spicy grilled shrimp and olive skewers for dinner: Try the recipe,1,FoxNews
TikTok says it disrupted 15 influence operations this year including one from China,0,NBC
"On Gold Star Spouses Day, a time to remember, support military families",1,FoxNews
Pelosi appoints Republican Rep. Kinzinger to Jan. 6 committee,0,NBC
Judge blocks NY AG Letitia James from trying to silence pregnancy centers that promote abortion pill reversal,1,FoxNews
"Haitian refugees ‘don’t understand the laws,’ former lawmaker says amid fatal wreck, cultural clashes",1,FoxNews
Bob Woodson: The Civil Rights Movement I was a part of has been betrayed by a twisted progressive ideology,1,FoxNews
What Scott Peterson's recent court win could mean for his yearslong quest for freedom,1,FoxNews
X melts down after Trump Musk's interview 'Space' immediately crashes,1,FoxNews
Moms for Liberty co founder torches SPLC's 'extremist' label: 'We're not going to stop',1,FoxNews
'High School Musical' star Joshua Bassett says he is 'sick' over 'absolutely false' sex assault accusation,1,FoxNews
Trump signals support for a national 15 week abortion ban,0,NBC
Every day is Memorial Day at Dover Air Force Base,1,FoxNews
"'The Jefferson Bible' spotlights complex faith, remarkable intellect of Founding Father",1,FoxNews
Gwyneth Paltrow reflects on Chris Martin split: ‘I never wanted to get divorced’,1,FoxNews
How to incorporate retinol into your skin care routine without irritating your skin,0,NBC
"China wants to avoid escalation with U.S., U.S. spy chief says",0,NBC
Idaho prosecutors reject student murders suspect's longshot bid to have death penalty taken off table,1,FoxNews
"Months after Ahmaud Arbery's death, Georgia governor plans to sign hate crimes bill into law",0,NBC
"Meet the American who invented Buffalo wings, disrupted entire chicken industry",1,FoxNews
What is consciousness? ChatGPT and advanced AI might redefine our answer,0,NBC
"Taylor Swift, Travis Kelce turn heads with Blake Lively, Ryan Reynolds at romantic double date dinner",1,FoxNews
"Israel sets new war goal, adding to signs of escalation with Hezbollah",0,NBC
Israel and Gaza conflict in photos,0,NBC
Harris undergoes a '60 Minutes' grilling as Trump sits it out,0,NBC
Iranian President Ebrahim Raisi is confirmed dead in helicopter crash,0,NBC
Lady Liberty stands tall amid lightning strike in NY Harbor,1,FoxNews
Jack Carr's take on the 1983 Beirut Marine barracks terror attack 40 years ago: 'Opening salvo in a new war',1,FoxNews
"Trump mixes somber remembrance with heated rhetoric in his return to Butler, Pa.",0,NBC
We tried dozens of sleep products to pick our 2023 award winners,0,NBC
Elon Musk called Gov. Josh Shapiro during the Steelers game to talk about investing in Pennsylvania,0,NBC
Retired commander who oversaw Afghanistan withdrawal says he alone bears responsibility for airport attack,0,NBC
"Biden's case for re election is improving, but his polling against Trump is still shaky",0,NBC
Iran fires multiple missile strikes across Israel,1,FoxNews
Biden administration hits Russia with sanctions over efforts to manipulate U.S. opinion ahead of the election,0,NBC
Texas Gov. Abbott reveals which 3 issues Trump should focus on during debate: 'Let Harris talk',1,FoxNews
Putin to visit North Korea starting Tuesday for talks with Kim Jong Un,0,NBC
Pence: Idea of overturning election results is ‘un American’,0,NBC
"Despite last minute cleanup efforts, Helene's debris piles remain a threat during Hurricane Milton",0,NBC
Meghan McCain blames hostile ‘View’ colleagues for her exit in emotional memoir,1,FoxNews
Kenya led police force arrives in Haiti to tackle gang violence,0,NBC
Bernie Sanders says Harris dropping far left policies 'in order to win the election',1,FoxNews
"Cake and democracy are a 'sweet' combination, says bestselling author: 'Freedom is a treat'",1,FoxNews
DOJ charges two brothers in Jan. 6 assault on a New York Times photographer,0,NBC
Hostage rescue complicates U.S. push for a cease fire deal,0,NBC
The U.S. readies to evacuate Americans from Lebanon if fighting between Israel and Hezbollah intensifies,0,NBC
How one podcast producer improved her sitting posture for about $20,0,NBC
"‘Every day we get closer’ to normalization with Israel, Saudi crown prince says in rare interview",0,NBC
New report warns bloodthirsty Venezuelan gang's footprint will remain in US ‘for decades',1,FoxNews
Putin tells Hungary's Orbán he is ready to discuss 'nuances' of Ukraine conflict,0,NBC
Biden administration lifts Trump era restrictions stalling Puerto Rico hurricane aid,0,NBC
Federal judge sets Trump trial date in election interference case,0,NBC
"In Cuba, hundreds take to the streets in rare protests as economic crisis deepens",0,NBC
Project 2025 winding down policy work following criticism from Trump,0,NBC
This epidemic is America's modern civil rights challenge,1,FoxNews
Biden admin unveils latest crackdown on oil and gas industry at UN climate conference,1,FoxNews
Why did Israel blow up Hezbollah pagers and walkie talkies and what might happen next?,0,NBC
Trump indicted on 7 charges in classified docs probe,0,NBC
Trump vows to 'free' Jan. 6 defendants as one of his first acts if elected,0,NBC
Hurricane Milton: Monster storm re intensifies to Category 5 as Florida braces for direct hit,0,NBC
"Texas human trafficking crash leaves two migrants dead, a dozen others injured",1,FoxNews
Police arrest man after Korean American candidate's campaign signs appear spray painted with slurs,0,NBC
Trump refuses to acknowledge his 2020 loss and dodges debate question about his Jan. 6 actions,0,NBC
European countries develop new ways to tackle domestic violence during lockdowns,0,NBC
"Israeli military rescues 4 hostages; more than 200 Palestinians killed, Gaza health officials say",0,NBC
Target Circle Week has begun we found all the best deals to shop now,0,NBC
"Tens of thousands of illegal immigrants with sexual assault, murder convictions in US: ICE data",1,FoxNews
Florida Gov. DeSantis says state will conduct investigation into second Trump assassination attempt,1,FoxNews
"Secretary of State Blinken says he spoke this week with Paul Whelan, former Marine imprisoned in Russia",0,NBC
"North Korean soldiers are training to fight for Russia, Ukraine says",0,NBC
"Watch out: Biggest data breaches of 2024, so far",1,FoxNews
"The 12 best products for natural hair, according to hair stylists",0,NBC
Cedar Point theme park unveils record breaking 'tilt' roller coaster for 2025,1,FoxNews
Elderly Jewish man dies after confrontation with pro Palestinian protester at California rally,1,FoxNews
Legos? Wine? Makeup? Dog treats? These Advent calendars go above and beyond chocolate,0,NBC
Maple butter offers a sweet and secret taste of springtime in North America,1,FoxNews
"Iran spreading election propaganda and targeting U.S. state voter rolls, officials say",0,NBC
Target just announced the next Target Circle Week here’s what you need to know,0,NBC
Federal judge blocks Alabama's voter purge program ahead of election,0,NBC
Jan. 6 hearing highlights: Cassidy Hutchinson gives explosive testimony about the Trump White House,0,NBC
Chuck Todd: Will Biden cost Harris the election?,0,NBC
"Egypt warned Israel of attack, House Foreign Affairs chairman claims",1,FoxNews
Public officials urge halt to the spread of rampant disinformation around Hurricane Helene,0,NBC
CNN data expert says Harris' momentum has 'stalled' while Trump is more popular than in past elections,1,FoxNews
Taylor Swift brushes off wardrobe malfunction on stage during Stockholm Eras Tour stop,1,FoxNews
This year's Democratic playbook features a lot of football,0,NBC
"Walz's handling of BLM riots, strict COVID rules under microscope after Harris VP pick",1,FoxNews
Harris repeats debunked claim Trump wants to 'ban' abortion during first campaign rally since Biden quit race,1,FoxNews
"Lori Loughlin, Mossimo Giannulli officially plead guilty in college admissions scandal case",1,FoxNews
The media's sudden rejection of Kamala Harris' 'border czar' label,1,FoxNews
Pyongyang media dismisses speculation of Hamas using North Korean weapons,1,FoxNews
Pennsylvanians offer mixed answers on where Harris stands on key issues: 'Better than the alternative',1,FoxNews
Take the guesswork out of what to make for dinner with these prepared meal delivery services,0,NBC
The reality of Trump and Stefanik's Jan. 6 'hostages',0,NBC
"German police raid homes connected to Hamas, pro Palestinian groups",1,FoxNews
"Border crisis overwhelming officials, communities as migrant numbers keep surging",1,FoxNews
The best gifts for home chefs this holiday season,0,NBC
Special Counsel Jack Smith hits back at judge for 'fundamentally flawed legal premise' in Trump documents case,1,FoxNews
Herschel Walker says Obama 'forgot our fight for right to vote' after scolding Black voters against Harris,1,FoxNews
Harris dodges question on lowering prices by describing 'middle class' roots: Neighbors 'proud of their lawn',1,FoxNews
Former Clinton aide Paul Begala warns 'walls are closing in' on Biden campaign,1,FoxNews
GOP senator demands answers from Biden admin on 'confusing' regulation that could crush farming families,1,FoxNews
Casey tied to Chinese firm he claimed McCormick led company invested in to 'profit' off fentanyl crisis,1,FoxNews
"Paul Rudd and Aaron Rodgers go viral at Taylor Swift concert, Camila Cabello and Shawn Mendes rekindle romance",1,FoxNews
"25 items we tried and loved in September from Stanley, Dyson, Touchland and more",0,NBC
Chocolate ice cream vs. vanilla ice cream: Which dessert is 'better' for you? Here's the cold hard truth,1,FoxNews
Israel again orders residents to evacuate areas of Gaza City it once said were cleared of Hamas,0,NBC
Donald Trump's call to mandate free IVF coverage baffles Republicans in Congress,0,NBC
LGBT advocate claims in House hearing ‘detransitioning’ is not ‘a real thing’,1,FoxNews
"On Hurricane Maria's third anniversary, Puerto Rico sees more pain and little progress",0,NBC
Hamas issues defiant message after Sinwar's death; Israel says war will continue,0,NBC
Harris bashes Trump for calling himself 'the father of IVF',0,NBC
Nevada women's volleyball captain slams trans athletes in her sport as team decides against players’ refusal,1,FoxNews
"NYT, MSNBC's Mara Gay: 'Disturbing' to see 'dozens of American flags' on trucks in Long Island",1,FoxNews
$1 rum cocktail at Applebee's highlights Halloween themed drink deals,1,FoxNews
How to order the new Apple AirTag,0,NBC
Poll: Harris tops Trump by two points,1,FoxNews
"Indoor planters from The Sill, Bloomscape and more",0,NBC
Trump reveals which election issue is a 'bigger deal' than inflation and the economy,1,FoxNews
A top Senate Republican crisscrosses campaign trail in 'make or break moment' to win back majority,1,FoxNews
"Kamala Harris courts disillusioned Arab Americans over Jewish groups, records show",1,FoxNews
"Trump leads Biden among Hispanics, registered voters overall: poll",1,FoxNews
Trump's election fight includes over 50 lawsuits. It's not going well.,0,NBC
"At Supreme Court, Trump lawyer backs away from absolute immunity argument",0,NBC
Election 2024: Harris and Walz kick off bus tour in Georgia; Vance hits Pennsylvania and Wisconsin,0,NBC
Harris mocked for taking less than 2 minutes of questions after 18 days: 'This is the best Kamala could do?',1,FoxNews
Florida Senate passes GOP bill that would create police force for election crimes,0,NBC
Doug Emhoff acknowledges reports of an affair during his first marriage,0,NBC
Lions' nifty flea flicker leads to 52 yard touchdown pass from Jared Goff to Sam LaPorta,1,FoxNews
How to find the best shampoo to help repair damaged hair,0,NBC
Republicans block Dem backed IVF bill revived by Chuck Schumer,1,FoxNews
Puerto Rico hit by a 5.0 quake amid ongoing seismic activity,0,NBC
"Girls killed in Delphi murders were sacrificed in pagan cult ritual, defense claims",1,FoxNews
Election 2024: Harris speaks in Phoenix after Obama's Pittsburgh rally; Biden slams Trump,0,NBC
"Facing criticism for being too walled off, Harris slowly opens the door to more media interviews",0,NBC
Matt Gaetz's primary is the last stop on Kevin McCarthy's revenge tour,0,NBC
Foo Fighters drummer Taylor Hawkins dead at 50,1,FoxNews
Sydney Sweeney 'so glad' mother stopped her from getting breast reduction as a teen: 'They're my best friends',1,FoxNews
Elon Musk uses X to push his own story about the platform’s suspension in Brazil,0,NBC
"Who is Tanya Chutkan, the judge assigned to Trump’s election case?",0,NBC
"Harris claims Trump abortion platform makes ‘no exception,’ moments after Trump says the opposite",1,FoxNews
"Nikki Haley ends presidential campaign with 'no regrets,' ceding GOP nomination to Trump",0,NBC
America's veterans and heroes get support through bold Mt. Kilimanjaro climb for charity,1,FoxNews
Florida beach living is the carefree answer for one caregiving couple,1,FoxNews
Iran's hard liners tighten grip with 'engineered' election,0,NBC
Supreme Court kills Biden student loan relief plan,0,NBC
What is Hezbollah? A look at the Iran backed militant group on the sidelines of the Israel Hamas war,0,NBC
Are Russia and North Korea planning an 'October surprise' that aids Trump?,0,NBC
Power Rankings: The frontrunner and contenders in the 2024 GOP primary field,1,FoxNews
"TikTok’s content on some political subjects aligns with the Chinese government, study says",0,NBC
"JD Vance makes a Midwest heavy, generational pitch: From the Politics Desk",0,NBC
Charlie Kirk once pushed a 'secular worldview.' Now he's fighting to make America Christian again.,0,NBC
Religious violence reaches India’s capital as a Hindu mob swarms a church,0,NBC
Israel pounds Gaza with heavy strikes as conflict enters second week,0,NBC
Eddie Van Halen's son Wolfgang hits back at David Lee Roth after singer trashes him in wild rant,1,FoxNews
"IDF says key Hamas operative killed in Gaza, following crippling strike on Hezbollah",1,FoxNews
Meta claims another 'error' after conservative college's second complaint about Facebook treatment,1,FoxNews
Female athlete injured by transgender player slams Dem lawmakers who dismissed dangers,1,FoxNews
Cuba's protests rocked the entire island. Here's why people flooded the streets.,0,NBC
"In major setback for Trump, appeals court ends special master's review of seized Mar a Lago records",0,NBC
Liam Payne’s cause of death confirmed in autopsy report: What is polytrauma?,0,NBC
DeSantis signs bill creating election police unit in Florida,0,NBC
'Where do we go?' Palestinians flee parts of Rafah after Israeli military order,0,NBC
All lip balms aren't created equally. Here's what to know when treating chapped lips,0,NBC
How to score cheap stuff (to keep or resell),1,FoxNews
"Early voting begins in California, Texas, 5 other states",1,FoxNews
DOJ claims it can't release Biden Hur interview due to threat of AI deepfakes,1,FoxNews
'All Eyes on Rafah' image shared by millions on Instagram following Israeli airstrike,0,NBC
Gifts for father figures who love to grill,0,NBC
"The best Roomba robot vacuums for pet owners, large homes and more",0,NBC
"House votes to condemn Biden, Harris and others over 2021 Afghanistan withdrawal",0,NBC
Full list of Trump's last minute pardons and commuted sentences,0,NBC
Opinion Bolton's book is depressing on so many levels here's what hurts the most,0,NBC
Trump gets big post debate boost in new polls after Biden's botched performance,1,FoxNews
Eagles' Nick Sirianni has heated spat with fans after close win vs Browns,1,FoxNews
"Newsom's progressive activism, debate skills among vulnerabilities in potential national campaign: expert",1,FoxNews
Supreme Court allows continued regulation of so called 'ghost guns',1,FoxNews
"'That is a fraud': Gov. DeSantis calls out Lia Thomas, biological men competing in women's sports",1,FoxNews
"Kamala Harris ridiculed for post on Roe anniversary as she recounts rage, need to ‘let it all out’ emotionally",1,FoxNews
How a tight circle of aides is trying to keep Trump out of (more) trouble,0,NBC
"Beyoncé gave SCOTUS Justice Ketanji Brown Jackson concert tickets valued at nearly $4,000: report",1,FoxNews
"'Gargantuan' butcher block wavy flag is a quarter ton testament to power of patriotism, land of opportunity",1,FoxNews
Elected official from Connecticut admits he entered Capitol during Jan. 6 attack,0,NBC
Dems mocked as ‘low T soy boys’ after CNN anchor says DNC appeals to opposite of 'testosterone laden men',1,FoxNews
Eric Trump condemns NY 'set up': My father built NYC skyline and this is his thanks,1,FoxNews
Georgia school shooting suspect on FBI radar since 2023 as possible threat after online remarks,1,FoxNews
Discovery of Civil War map sheds new light on Antietam’s bloody aftermath,1,FoxNews
Hamas says hostage guards in Gaza are operating under new instructions,0,NBC
LAURA INGRAHAM: This strategy could cost Democrats 'dearly' in November,1,FoxNews
Praying the rosary: Understanding the tradition that helps Catholics meditate on Jesus and Mother Mary,1,FoxNews
"DeSantis chides students for wearing masks, tells them to 'stop with this Covid theater'",0,NBC
Eye spy a big problem: California doctor removes 23 contact lenses from one woman’s eye,1,FoxNews
"'Groomer,' 'pro pedophile': Old tropes find new life in anti LGBTQ movement",0,NBC
"Iran to blame for violence that killed Mahsa Amini, U.N. finds",0,NBC
Far right groups blocking Gaza aid receive tax deductible gifts from U.S. and Israel,0,NBC
"As North Carolina begins voting, hurricane devastation complicates casting ballots",0,NBC
How long will the Kamala Harris honeymoon in the polls against Donald Trump last?,1,FoxNews
"Tony Bennett blames NIL for retirement, calls for 'change' in college sports in emotional conference",1,FoxNews
Trump comes out against Florida's abortion rights ballot measure after conservative backlash,0,NBC
"Poll: Harris, Trump tied in Pennsylvania",1,FoxNews
German bureaucrat under fire for trashing British WWII hero who inspired Israeli army,1,FoxNews
"North Korea calls South Korea a ‘hostile state,’ indicating constitution change",0,NBC
"Yes, you need to clean your pet’s ears here’s how to do it the right way",0,NBC
"Heroism, bravery displayed on 9/11 by plane passengers who made phone calls from hijacked aircraft",1,FoxNews
Biden admin backs down on key eco regulations after Supreme Court ruling,1,FoxNews
Nobel Peace laureate known as ‘banker to the poor’ faces jail in his home country,0,NBC
Apple sued by Biden administration over alleged iPhone 'monopoly power',0,NBC
Texas Dem's Senate ad features border wall he once blasted as 'racist',1,FoxNews
'I dissent': Biden attacks Supreme Court immunity ruling as emboldening a lawless president,0,NBC
CNN saga: How much cash did ousted boss Jeff Zucker get to leave network?,1,FoxNews
'Derrick Evans is in the Capitol!' he yelled. Derrick Evans has now been sentenced for storming the Capitol.,0,NBC
Kamala Harris' tough on migration pitch at the border points to a shifting national mood,0,NBC
"Poll: New matchup, same result Trump bests Harris by one point",1,FoxNews
'Latinos for Trump' rebrands and is set to launch as 'Latino Americans for Trump',0,NBC
Cattlemen roast vegan NYC mayor for cracking down on food as part of climate agenda,1,FoxNews
Coronavirus isolation raises concerns for domestic violence survivors,0,NBC
Progressive House Dems made secret 'human rights' trip to Cuba amid worsening border crisis at home,1,FoxNews
Mark Cuban says he won't run for president with third party in 2024,0,NBC
"Georgia doctors speak out to challenge misinformation on state's abortion law, death of Amber Thurman",1,FoxNews
Bahrain becomes second Arab nation to recognize Israel in less than a month,0,NBC
I tested the Fitbit Charge 6 for weeks I love that it doesn’t overwhelm me with data,0,NBC
McConnell says he would 'absolutely' support Trump as 2024 nominee,0,NBC
"Senate hopeful Sam Brown, Tulsi Gabbard show support for Nevada women's volleyball team amid SJSU trans drama",1,FoxNews
"Biden is in charge of country on second straight vacation, White House insists",1,FoxNews
Sen. Raphael Warnock says embattled NC GOP candidate Mark Robinson is ‘white supremacy in blackface’,0,NBC
Family selling dream home to fund life saving treatment for 5 year old daughter,1,FoxNews
"Cyber Monday deals are still live from brands like Yeti, FitBit, Amazon and more",0,NBC
Iran launches retaliatory attack on Israel that risks sparking regional war,0,NBC
Make these 'can't go wrong' lobster rolls with family and friends this weekend: Try the easy recipe,1,FoxNews
Tren de Aragua members of violent Venezuelan migrant gang arrested in Texas: HSI,1,FoxNews
